name,full_form,entity_type,Comments(V/U/I),context,description,explanation,Document_number,Section_title,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Comment,document_number
DCCH,Dedicated Control Channel,Channel,V,"The UECapabilityEnquiry message is used to request UE radio access capabilities for NR as well as for other RATs. Signalling radio bearer: SRB1 RLC-SAP: AM Logical channel: DCCH Direction: Network to UE UECapabilityEnquiry message -- ASN1START -- TAG-UECAPABILITYENQUIRY-START UECapabilityEnquiry ::= SEQUENCE { rrc-TransactionIdentifier RRC-TransactionIdentifier, criticalExtensions CHOICE { ueCapabilityEnquiry UECapabilityEnquiry-IEs, criticalExtensionsFuture SEQUENCE {} } } UECapabilityEnquiry-IEs ::= SEQUENCE { ue-CapabilityRAT-RequestList UE-CapabilityRAT-RequestList, lateNonCriticalExtension OCTET STRING OPTIONAL, ue-CapabilityEnquiryExt OCTET STRING (CONTAINING UECapabilityEnquiry-v1560-IEs) OPTIONAL -- Need N } UECapabilityEnquiry-v1560-IEs ::= SEQUENCE { capabilityRequestFilterCommon UE-CapabilityRequestFilterCommon OPTIONAL, -- Need N nonCriticalExtension UECapabilityEnquiry-v1610-IEs OPTIONAL } UECapabilityEnquiry-v1610-IEs ::= SEQUENCE { rrc-SegAllowed-r16 ENUMERATED {enabled} OPTIONAL, -- Need N nonCriticalExtension SEQUENCE {} OPTIONAL } -- TAG-UECAPABILITYENQUIRY-STOP -- ASN1STOP","The Dedicated Control Channel (DCCH) is a logical channel in the radio access network used for transmitting control information between the network and user equipment. It is utilized for signaling purposes, such as sending the UECapabilityEnquiry message to request UE radio access capabilities.",DCCH is classified as a Channel because it serves as a specific path for data transmission related to control information in the context of the provided paragraph from 3GPP TS 38.331.,3GPP TS 38.331,– UECapabilityEnquiry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTCH,Multicast Traffic Channel,Channel,V,The following logical channels are used for MBS delivery: - MTCH: A PTM downlink channel for transmitting MBS data of either multicast session or broadcast session from the network to the UE,- DTCH: A PTP channel defined in clause 6.2.2 for transmitting MBS data of a multicast session from the network to the UE,- MCCH: A PTM downlink channel used for transmitting MBS broadcast or MBS multicast control information associated to one or several MTCH(s) from the network to the UE. Broadcast MCCH and multicast MCCH are independent channels. The multicast MCCH is used only for multicast reception in RRC_INACTIVE state. The following connections between logical channels and transport channels for PTM transmission exist: - MCCH can be mapped to DL-SCH,- MTCH can be mapped to DL-SCH. The following depicts the usage of RNTI for PTM transmission: - A UE can receive different services using same or different G-RNTIs,#NAME?,"The Multicast Traffic Channel (MTCH) is a point-to-multipoint (PTM) downlink channel used for transmitting Multimedia Broadcast/Multicast Service (MBMS) data, either multicast or broadcast sessions, from the network to the User Equipment (UE). It plays a crucial role in efficient data dissemination to multiple users simultaneously. MTCH can be mapped to the Downlink Shared Channel (DL-SCH), facilitating the transmission of MBMS content.","MTCH is classified as a Channel because it serves as a specific path for transmitting multicast and broadcast traffic from the network to the UE, aligning with the 3GPP's specifications for efficient data transmission in MBMS scenarios.",3GPP TS 38.300,16.10.4 Group Scheduling,,,,,,,,,,,,,,,,,,,,,,,,,
SACCH,Slow Associated Control CHannel,Channel,V,"The logical control channels are defined in 3GPP TS 45.002[ None ]  [32]. In the following those control channels are considered which carry signalling information or specific types of user packet information: i) Broadcast Control CHannel (BCCH): downlink only, used to broadcast Cell specific information; ii) Synchronization CHannel (SCH): downlink only, used to broadcast synchronization and BSS identification information; iii) Paging CHannel (PCH): downlink only, used to send page requests to Mobile Stations (MSs); iv) Random Access CHannel (RACH): uplink only, used to request a Dedicated Control CHannel; v) Access Grant CHannel (AGCH): downlink only, used to allocate a Dedicated Control CHannel; vi) Standalone Dedicated Control CHannel (SDCCH): bi-directional; vii) Fast Associated Control CHannel (FACCH): bi-directional, associated with a Traffic CHannel; viii) Slow Associated Control CHannel (SACCH): bi-directional, associated with a SDCCH or a Traffic CHannel; ix) Cell Broadcast CHannel (CBCH): downlink only used for general (not point to point) short message information; x) Notification CHannel (NCH): downlink only, used to notify mobile stations of VBS (Voice Broadcast Service) calls or VGCS (Voice Group Call Service) calls. Two service access points are defined on signalling layer 2 which are discriminated by their Service Access Point Identifiers (SAPI) (see 3GPP TS 44.006[ None ]  [19]): i) SAPI 0: supports the transfer of signalling information including user-user information; ii) SAPI 3: supports the transfer of user short messages. Layer 3 selects the service access point, the logical control channel and the mode of operation of layer 2 (acknowledged, unacknowledged or random access, see 3GPP TS 44.005[ None ]  [18] and 3GPP TS 44.006[ None ]  [19]) as required for each individual message.","The Slow Associated Control Channel (SACCH) is a bi-directional logical control channel in the GSM network, associated with either a Standalone Dedicated Control Channel (SDCCH) or a Traffic Channel. It is used for the transfer of signalling information and specific types of user packet data between the Mobile Station (MS) and the Base Station Subsystem (BSS). The SACCH plays a crucial role in managing communication sessions by providing a dedicated path for control messages, thereby ensuring efficient use of network resources.","SACCH is classified as a Channel because it serves as a specific pathway within the GSM network architecture for transmitting control and signalling information between network elements. This classification aligns with the context provided in 3GPP TS 24.008, which outlines the logical channels used in A/Gb mode.",3GPP TS 24.008,1.5 Use of logical channels in A/Gb mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCCE,Narrowband Control Channel Element,Channel,V,"The block of complex-valued symbols shall be mapped in sequence starting with to resource elements on the associated antenna port which meet all of the following criteria: - they are part of the NCCE(s) assigned for the NPDCCH transmission, and - they are not used for transmission of NPBCH, NPSS, or NSSS, and - except in a special subframe when NPDCCH is transmitted in more than one subframe, they are assumed by the UE not to be used for NRS, and - they are not overlapping with resource elements used for CRS as defined in clause 6 (if any), and - the index in the first slot in a subframe fulfils where is given by clause 16.6.1 of TS 36.213[ Evolved Universal Terrestrial Radio Access (E-UTRA); Physical layer procedures ]  [4], - in addition, for frame structure Type 2, - in a special subframe where the NPDCCH is transmitted in one subframe, they are in DwPTS - in a special subframe where the NPDCCH is transmitted in more than one subframe, they are not NRS locations when the subframe is not a special subframe. The mapping to resource elements on antenna port meeting the criteria above shall be in increasing order of first the index and then the index, starting with the first slot and ending with the second slot in a subframe. Denote as the complex-valued symbols that are mapped to resource elements meeting the criteria above in subframe , with the insertion of <NIL> elements in the locations of resource elements which are not part of the NCCE(s) assigned for the NPDCCH transmission. If the NPDCCH is transmitted in more than one subframe, the resource elements in a special subframe that are not part of DwPTS are counted but not used in the mapping. When , the resource elements in a special subframe assumed by the UE for NRSs are counted but not used in the mapping if the NPDCCH is transmitted in more than one subframe. For frame structure type 1, - for NPDCCH associated with RA-RNTI, TC-RNTI or - for P-RNTI and transmitted in an NB-IoT carrier configured by SystemInformationBlockType22-NB, or - for NPDCCH associated with C-RNTI in an NB-IoT carrier configured by SystemInformationBlockType22-NB when RadioResourceConfigDedicted-NB is not configured by higher layer, or - for NPDCCH associated with PUR-RNTI/G-RNTI/ SC-RNTI, or - for NPDCCH associated with C-RNTI or SPS C-RNTI when interferenceRandomisationConfig is used according to [9], or for frame structure type 2, each complex-valued symbol , shall be multiplied with ,where where the scrambling sequence is given by clause 7.2 and shall be initialized at the start of each subframe with . The NPDCCH transmission can be configured by higher layers with transmissions gaps where the NPDCCH transmission is postponed. The configuration is the same as described for NPDSCH in clause 10.2.3.4. The UE shall not expect NPDCCH in subframe if it is not a NB-IoT downlink subframe. In case of NPDCCH transmissions, in subframes that are not NB-IoT downlink subframes, the NPDCCH transmission is postponed until the next NB-IoT downlink subframe. If higher layer parameter resourceReservationConfigDL is configured, then in case of NPDCCH transmission associated with C-RNTI or SPS C-RNTI using UE-specific NPDCCH search space, - In a subframe that is fully reserved as defined in clause 16.4 in [4], the NPDCCH transmission is postponed until the next NB-IoT downlink subframe that is not fully reserved. - In a subframe that is partially reserved, the reserved OFDM symbols shall be counted in the NPDCCH mapping but not used for transmission of the NPDCCH.","The Narrowband Control Channel Element (NCCE) refers to a specific set of resource elements within the Narrowband Internet of Things (NB-IoT) downlink subframes that are assigned for the transmission of the Narrowband Physical Downlink Control Channel (NPDCCH). These resource elements must meet certain criteria, such as not being used for other channels like NPBCH, NPSS, or NSSS, and not overlapping with Cell-specific Reference Signals (CRS). The NCCE plays a crucial role in the mapping of complex-valued symbols to resource elements on antenna ports, ensuring efficient transmission of control information within the NB-IoT system.","NCCE is classified as a Channel because it represents a specific allocation of resources within the NB-IoT downlink subframes dedicated for the transmission of NPDCCH. The detailed criteria and mapping rules defined in the 3GPP specification highlight its role as a distinct channel element, facilitating control information exchange between the network and user equipment.",3GPP TS 36.211,10.2.5.5 Mapping to resource elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCH,Notification Channel,Channel,V,"The logical control channels are defined in 3GPP TS 45.002[ None ]  [32]. In the following those control channels are considered which carry signalling information or specific types of user packet information: i) Broadcast Control CHannel (BCCH): downlink only, used to broadcast Cell specific information; ii) Synchronization CHannel (SCH): downlink only, used to broadcast synchronization and BSS identification information; iii) Paging CHannel (PCH): downlink only, used to send page requests to Mobile Stations (MSs); iv) Random Access CHannel (RACH): uplink only, used to request a Dedicated Control CHannel; v) Access Grant CHannel (AGCH): downlink only, used to allocate a Dedicated Control CHannel; vi) Standalone Dedicated Control CHannel (SDCCH): bi-directional; vii) Fast Associated Control CHannel (FACCH): bi-directional, associated with a Traffic CHannel; viii) Slow Associated Control CHannel (SACCH): bi-directional, associated with a SDCCH or a Traffic CHannel; ix) Cell Broadcast CHannel (CBCH): downlink only used for general (not point to point) short message information; x) Notification CHannel (NCH): downlink only, used to notify mobile stations of VBS (Voice Broadcast Service) calls or VGCS (Voice Group Call Service) calls. Two service access points are defined on signalling layer 2 which are discriminated by their Service Access Point Identifiers (SAPI) (see 3GPP TS 44.006[ None ]  [19]): i) SAPI 0: supports the transfer of signalling information including user-user information; ii) SAPI 3: supports the transfer of user short messages. Layer 3 selects the service access point, the logical control channel and the mode of operation of layer 2 (acknowledged, unacknowledged or random access, see 3GPP TS 44.005[ None ]  [18] and 3GPP TS 44.006[ None ]  [19]) as required for each individual message.","The Notification Channel (NCH) is a downlink-only logical control channel used to notify mobile stations of Voice Broadcast Service (VBS) calls or Voice Group Call Service (VGCS) calls. It plays a crucial role in the dissemination of specific types of information to multiple users, facilitating group communication services within the cellular network.","NCH is classified as a Channel because it serves as a specific path for data transmission, dedicated to notifying mobile stations about particular service calls, aligning with the 3GPP's specifications for logical control channels in A/Gb mode.",3GPP TS 24.008,1.5 Use of logical channels in A/Gb mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH,Synchronization Channel,Channel,V,"The logical control channels are defined in 3GPP TS 45.002[ None ]  [32]. In the following those control channels are considered which carry signalling information or specific types of user packet information: i) Broadcast Control CHannel (BCCH): downlink only, used to broadcast Cell specific information; ii) Synchronization CHannel (SCH): downlink only, used to broadcast synchronization and BSS identification information; iii) Paging CHannel (PCH): downlink only, used to send page requests to Mobile Stations (MSs); iv) Random Access CHannel (RACH): uplink only, used to request a Dedicated Control CHannel; v) Access Grant CHannel (AGCH): downlink only, used to allocate a Dedicated Control CHannel; vi) Standalone Dedicated Control CHannel (SDCCH): bi-directional; vii) Fast Associated Control CHannel (FACCH): bi-directional, associated with a Traffic CHannel; viii) Slow Associated Control CHannel (SACCH): bi-directional, associated with a SDCCH or a Traffic CHannel; ix) Cell Broadcast CHannel (CBCH): downlink only used for general (not point to point) short message information; x) Notification CHannel (NCH): downlink only, used to notify mobile stations of VBS (Voice Broadcast Service) calls or VGCS (Voice Group Call Service) calls. Two service access points are defined on signalling layer 2 which are discriminated by their Service Access Point Identifiers (SAPI) (see 3GPP TS 44.006[ None ]  [19]): i) SAPI 0: supports the transfer of signalling information including user-user information; ii) SAPI 3: supports the transfer of user short messages. Layer 3 selects the service access point, the logical control channel and the mode of operation of layer 2 (acknowledged, unacknowledged or random access, see 3GPP TS 44.005[ None ]  [18] and 3GPP TS 44.006[ None ]  [19]) as required for each individual message.",The Synchronization Channel (SCH) is a downlink-only logical control channel used to broadcast synchronization and BSS identification information in the context of A/Gb mode. It plays a crucial role in enabling mobile stations to synchronize with the base station and obtain necessary system information.,"SCH is classified as a Channel because it refers to a specific path for data transmission, in this case, used for broadcasting synchronization and BSS identification information from the base station to mobile stations.",3GPP TS 24.008,1.5 Use of logical channels in A/Gb mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL,DownLink,Channel,V,"The throughput shall be ≥ 95% of the maximum throughput of the reference measurement channels as specified in Annexes A.2.2, A.2.3 and A.3.2 (with one sided dynamic OCNG Pattern OP.1 FDD/TDD for the DL-signal as described in Annex A.5.1.1/A.5.2.1) with parameters specified in Tables 7.7.1-1 and 7.7.1-2. For operating bands with an unpaired DL part (as noted in Table 5.5-1), the requirements only apply for carriers assigned in the paired part. Table 7.7.1-1: Spurious response parameters Table 7.7.1-2: Spurious response For the UE which supports inter-band CA configuration in Table 7.3.1-1A, Pinterferer power defined in Table 7.7.1-2 is increased by the amount given by ΔRIB,c in Table 7.3.1-1A.","The DownLink (DL) refers to a communication channel used for transmitting data from the base station to the user equipment (UE) in a cellular network, specifically within the context of Evolved Universal Terrestrial Radio Access (E-UTRA). The DL channel is subject to various performance requirements and measurements as outlined in 3GPP TS 36.101, including minimum throughput specifications and spurious response parameters.","DL is classified as a Channel because it represents the path through which data is transmitted from the network to the user equipment, fitting within the context of radio transmission and reception specifications provided by 3GPP.",3GPP TS 36.101,7.7.1 Minimum requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMRS,Demodulation Reference Signal,Channel,V,"For 4Rx capable UEs all single carrier tests specified in 8.2 to 8.8 with 2Rx are tested on any of the 2 Rx supported RF bands by connecting 2 out of the 4Rx with data source from system simulator, and the other 2 Rx are connected with zero input, depending on UE’s declaration and AP configuration. Same requirements specified with 2Rx should be applied. For 4Rx capable UEs without any 2Rx RF bands, all single carrier tests specified in 8.2 to 8.8 with 2Rx are tested on any of the 4Rx supported RF bands by duplicating the fading channel from each Tx antenna and add independent noise for each Rx antenna. Figure 8.1.2.6.1-1 shows an example of antenna connection for 4Rx UE in any one 4Rx supported RF band to perform a 2Rx performance test with antenna configuration as 2x2 without interference for information. The SNR requirements should be applied with 1.5 dB less than the number specified with 2Rx for test configuration with CRS-based TM and with 1.5 dB less than the number specified with 2Rx for test configuration with DMRS-based TM. Figure 8.1.2.6.1-1 Antenna connection example for 2Rx tests with antenna configuration as 2x2 without interference (informative) For 4Rx capable UEs without any 2Rx supported RF bands, for all single carrier tests listed in Table 8.1.2.6.1-0 specified from 8.2 to 8.8 with 2Rx can be skipped. Table 8.1.2.6.1-0: Requirement lists for 4Rx capable UEs For 4Rx capable UEs, if corresponding tests listed from the 4Rx test lists from Table 8.1.2.6.1-1 are tested, the test coverage can be considered fulfilled without executing the corresponding tests listed from the 2Rx test lists from Table 8.1.2.6.1-1. Table 8.1.2.6.1-1: Applicability rules for single carrier tests with 2Rx","The Demodulation Reference Signal (DMRS) is a type of reference signal used in the Evolved Universal Terrestrial Radio Access (E-UTRA) to facilitate demodulation at the receiver end. It is an essential component in the physical layer of the LTE system, enabling the receiver to accurately estimate the channel conditions and decode the transmitted data.","DMRS is classified as a Channel because it serves as a reference signal for demodulation purposes, which is a critical aspect of wireless communication channels. The context provided highlights its role in facilitating accurate channel estimation and data decoding, aligning with the 3GPP's specifications for E-UTRA.",3GPP TS 36.101,8.1.2.6.1 Applicability rule and antenna connection for single carrier tests with 2Rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDCCH,Standalone Dedicated Control Channel,Channel,V,"The logical control channels are defined in 3GPP TS 45.002[ None ]  [32]. In the following those control channels are considered which carry signalling information or specific types of user packet information: i) Broadcast Control CHannel (BCCH): downlink only, used to broadcast Cell specific information; ii) Synchronization CHannel (SCH): downlink only, used to broadcast synchronization and BSS identification information; iii) Paging CHannel (PCH): downlink only, used to send page requests to Mobile Stations (MSs); iv) Random Access CHannel (RACH): uplink only, used to request a Dedicated Control CHannel; v) Access Grant CHannel (AGCH): downlink only, used to allocate a Dedicated Control CHannel; vi) Standalone Dedicated Control CHannel (SDCCH): bi-directional; vii) Fast Associated Control CHannel (FACCH): bi-directional, associated with a Traffic CHannel; viii) Slow Associated Control CHannel (SACCH): bi-directional, associated with a SDCCH or a Traffic CHannel; ix) Cell Broadcast CHannel (CBCH): downlink only used for general (not point to point) short message information; x) Notification CHannel (NCH): downlink only, used to notify mobile stations of VBS (Voice Broadcast Service) calls or VGCS (Voice Group Call Service) calls. Two service access points are defined on signalling layer 2 which are discriminated by their Service Access Point Identifiers (SAPI) (see 3GPP TS 44.006[ None ]  [19]): i) SAPI 0: supports the transfer of signalling information including user-user information; ii) SAPI 3: supports the transfer of user short messages. Layer 3 selects the service access point, the logical control channel and the mode of operation of layer 2 (acknowledged, unacknowledged or random access, see 3GPP TS 44.005[ None ]  [18] and 3GPP TS 44.006[ None ]  [19]) as required for each individual message.","The Standalone Dedicated Control Channel (SDCCH) is a bi-directional logical control channel used in the A/Gb mode of mobile radio interface. It carries signalling information and specific types of user packet information, enabling communication between the network and mobile stations for various purposes such as call setup, data transmission, and control messages.","SDCCH is classified as a Channel because it serves as a dedicated pathway for transmitting control and signalling information between the network and mobile devices. This aligns with the context provided from 3GPP TS 24.008, which outlines the use of logical channels in A/Gb mode.",3GPP TS 24.008,1.5 Use of logical channels in A/Gb mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTCH,Dedicated Traffic Channel,Channel,V,"This measurement provides the usage (in percentage) of physical resource blocks (PRBs) on the uplink for DTCH traffic. The measurement is split into subcounters per E-RAB QoS level (QCI). If there is one or more RNs served in a cell, for that cell the eNodeB performs PRB usage measurements separately for all traffic (including transmissions to/from RNs and UEs directly connected to the eNodeB) and for RN traffic. The measurement is also applicable to RNs. SI This measurement is obtained according to the definition in 3GPP TS 36.314[ Evolved Universal Terrestrial Radio Access  (E-UTRA); Layer 2 - Measurements ]  [11]. Separate counters are maintained for each QCI. The sum of all supported per QCI measurements shall equal the total PRB usage for DTCH. In case only a subset of per QCI measurements is supported, a sum subcounter will be provided first. Each measurement is an integer value from 0 to 100. The number of measurements is equal to the number of QCIs plus a possible sum value identified by the .sum suffix. The measurement name has the form RRU.PrbUl.QCI, which indicats the UL PRB Usage for all traffic RRU.PrbUlRN.QCI, which indicates the UL PRB Usage for the RN traffic where QCI identifies the E-RAB level quality of service class. EUtranCellFDD EUtranCellTDD Valid for packet switched traffic EPS","The Dedicated Traffic Channel (DTCH) is a type of channel in the Evolved Universal Terrestrial Radio Access Network (E-UTRAN) that carries user data and control signals between the User Equipment (UE) and the eNodeB. It is used for packet switched traffic in the EPS (Evolved Packet System). The DTCH is characterized by its usage of physical resource blocks (PRBs) on the uplink, which can be measured and reported separately for different E-RAB QoS levels (QCI).","DTCH is classified as a Channel because it refers to a specific path or medium through which data is transmitted between network elements in the E-UTRAN. The context provided highlights its role in carrying user traffic and control signals, aligning with the definition of a channel in telecommunications.",3GPP TS 32.425,4.5.2 UL PRB Usage for traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS,Reference Signal,Channel,U,"The IE LTM-Candidate concerns a LTM candidate configuration to add or modify. LTM-Candidate information element -- ASN1START -- TAG-LTM-CANDIDATE-START LTM-Candidate-r18 ::= SEQUENCE { ltm-CandidateId-r18 LTM-CandidateId-r18, ltm-CandidatePCI-r18 PhysCellId, ltm-SSB-Config-r18 LTM-SSB-Config-r18 OPTIONAL, -- Need M ltm-CandidateConfig-r18 OCTET STRING (CONTAINING RRCReconfiguration) OPTIONAL, -- Need M ltm-ConfigComplete-r18 ENUMERATED {true} OPTIONAL, -- Need R ltm-EarlyUL-SyncConfig-r18 SetupRelease { EarlyUL-SyncConfig-r18 } OPTIONAL, -- Need M ltm-EarlyUL-SyncConfigSUL-r18 SetupRelease { EarlyUL-SyncConfig-r18 } OPTIONAL, -- Need M ltm-NoResetID-r18 INTEGER (1..maxNrofLTM-Configs-r18-plus-1) OPTIONAL, -- Need M ltm-DL-OrJointTCI-StateToAddModList-r18 SEQUENCE (SIZE (1..maxNrofCandidateTCI-State-r18)) OF CandidateTCI-State-r18 OPTIONAL, -- Need N ltm-DL-OrJointTCI-StateToReleaseList-r18 SEQUENCE (SIZE (1..maxNrofCandidateTCI-State-r18)) OF TCI-StateId OPTIONAL, -- Need N ltm-UL-TCI-StatesToAddModList-r18 SEQUENCE (SIZE (1..maxNrofCandidateUL-TCI-r18)) OF CandidateTCI-UL-State-r18 OPTIONAL, -- Need N ltm-UL-TCI-StatesToReleaseList-r18 SEQUENCE (SIZE (1.. maxNrofCandidateUL-TCI-r18)) OF TCI-UL-StateId-r17 OPTIONAL, -- Need N ltm-nzp-CSI-RS-ResourceToAddModList-r18 SEQUENCE (SIZE (1..maxNrofNZP-CSI-RS-Resources)) OF NZP-CSI-RS-Resource OPTIONAL, -- Need N ltm-nzp-CSI-RS-ResourceToReleaseList-r18 SEQUENCE (SIZE (1..maxNrofNZP-CSI-RS-Resources)) OF NZP-CSI-RS-ResourceId OPTIONAL, -- Need N ltm-nzp-CSI-RS-ResourceSetToAddModList-r18 SEQUENCE (SIZE (1..maxNrofNZP-CSI-RS-ResourceSets)) OF NZP-CSI-RS-ResourceSet OPTIONAL, -- Need N ltm-nzp-CSI-RS-ResourceSetToReleaseList-r18 SEQUENCE (SIZE (1..maxNrofNZP-CSI-RS-ResourceSets)) OF NZP-CSI-RS-ResourceSetId OPTIONAL, -- Need N pathlossReferenceRS-ToAddModList-r18 SEQUENCE (SIZE (1..maxNrofPathlossReferenceRSs-r17)) OF PathlossReferenceRS-r17 OPTIONAL, -- Need N pathlossReferenceRS-ToReleaseList-r18 SEQUENCE (SIZE (1..maxNrofPathlossReferenceRSs-r17)) OF PathlossReferenceRS-Id-r17 OPTIONAL, -- Need N ltm-UE-MeasuredTA-ID-r18 INTEGER (1..maxNrofLTM-Configs-r18-plus-1) OPTIONAL, -- Need M ... } LTM-SSB-Config-r18 ::= SEQUENCE { ssbFrequency-r18 ARFCN-ValueNR, subcarrierSpacing-r18 SubcarrierSpacing, ssb-Periodicity-r18 ENUMERATED {ms5, ms10, ms20, ms40, ms80, ms160, spare2, spare1} OPTIONAL, -- Need R ssb-PositionsInBurst-r18 CHOICE { shortBitmap BIT STRING (SIZE (4)), mediumBitmap BIT STRING (SIZE (8)), longBitmap BIT STRING (SIZE (64)) } OPTIONAL, -- Need R ss-PBCH-BlockPower-r18 INTEGER (-60..50) OPTIONAL, -- Need R ... } -- TAG-LTM-CANDIDATE-STOP -- ASN1STOP","A Reference Signal (RS) is a type of signal used in wireless communication systems to facilitate channel estimation and synchronization between the transmitter and receiver. In the context of 3GPP TS 38.331, RS is specifically related to the configuration and management of LTM (Long-Term Measurement) candidates, which are used for radio resource control and optimization purposes.","RS is classified as a Channel because it refers to a specific type of signal that is transmitted over the air interface to enable channel estimation and synchronization. The context provided highlights its role in LTM candidate configuration and management, which is critical for efficient radio resource utilization and network performance optimization.",3GPP TS 38.331,– LTM-Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACCH,Fast Associated Control Channel,Channel,V,"The logical control channels are defined in 3GPP TS 45.002 [32]. In the following those control channels are considered which carry signalling information or specific types of user packet information: i) Broadcast Control CHannel (BCCH): downlink only, used to broadcast Cell specific information; ii) Synchronization CHannel (SCH): downlink only, used to broadcast synchronization and BSS identification information; iii) Paging CHannel (PCH): downlink only, used to send page requests to Mobile Stations (MSs); iv) Random Access CHannel (RACH): uplink only, used to request a Dedicated Control CHannel; v) Access Grant CHannel (AGCH): downlink only, used to allocate a Dedicated Control CHannel; vi) Standalone Dedicated Control CHannel (SDCCH): bi-directional; vii) Fast Associated Control CHannel (FACCH): bi-directional, associated with a Traffic CHannel; viii) Slow Associated Control CHannel (SACCH): bi-directional, associated with a SDCCH or a Traffic CHannel; ix) Cell Broadcast CHannel (CBCH): downlink only used for general (not point to point) short message information; x) Notification CHannel (NCH): downlink only, used to notify mobile stations of VBS (Voice Broadcast Service) calls or VGCS (Voice Group Call Service) calls. Two service access points are defined on signalling layer 2 which are discriminated by their Service Access Point Identifiers (SAPI) (see 3GPP TS 44.006 [19]): i) SAPI 0: supports the transfer of signalling information including user-user information; ii) SAPI 3: supports the transfer of user short messages. Layer 3 selects the service access point, the logical control channel and the mode of operation of layer 2 (acknowledged, unacknowledged or random access, see 3GPP TS 44.005 [18] and 3GPP TS 44.006 [19]) as required for each individual message.","The FACCH is a bi-directional logical control channel associated with a Traffic Channel, used for fast control in A/Gb mode.",Categorized as a Channel because it facilitates the exchange of control information between the network and UE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS.23.008
PBCH,Physical Broadcast Channel,Channel,V,"The ControlResourceSetId IE concerns a short identity, used to identify a control resource set within a serving cell. The ControlResourceSetId = 0 identifies the ControlResourceSet#0 configured via PBCH (MIB) and in controlResourceSetZero (ServingCellConfigCommon). The ID space is used across the BWPs and MBS CFRs of a Serving Cell. ControlResourceSetId information element -- ASN1START -- TAG-CONTROLRESOURCESETID-START ControlResourceSetId ::= INTEGER (0..maxNrofControlResourceSets-1) ControlResourceSetId-r16 ::= INTEGER (0..maxNrofControlResourceSets-1-r16) ControlResourceSetId-v1610 ::= INTEGER (maxNrofControlResourceSets..maxNrofControlResourceSets-1-r16) -- TAG-CONTROLRESOURCESETID-STOP -- ASN1STOP","The Physical Broadcast Channel (PBCH) is a downlink channel in the Long Term Evolution (LTE) and New Radio (NR) networks, used for broadcasting system information from the eNodeB or gNB to user equipment. It carries essential data such as the Master Information Block (MIB), which includes critical parameters like the cell identity and configuration details necessary for UE initialization and network access.","PBCH is classified as a Channel because it refers to a specific path used for transmitting control information from the base station to user equipment in LTE and NR networks, aligning with the context of radio resource control and protocol specifications provided by 3GPP TS 38.331.",3GPP TS 38.331,– ControlResourceSetId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
