,Question,Option 1,Option 2,Option 3,Option 4,Answer,Explanation,Source,Section,Working Group,Series
723,What is the primary purpose of the Nsmf_PDUSession_ReleaseSMContext service operation in the 5G System (5GS)?,To release the AMF-SMF association for a certain PDU Session because the PDU Session has been released.,To establish a new PDU Session and assign EBIs to it.,To modify the UE location information and AN type for an existing PDU Session.,To retrieve the Small Data Rate Control Status and APN Rate Control Status for a specific PDU Session.,Option 1,The Nsmf_PDUSession_ReleaseSMContext service operation is used to release the AMF-SMF association for a certain PDU Session when the PDU Session has been released. This allows the network to free up resources and update the SM Context ID accordingly.,3GPP TS 23.502,5.2.8.2.7 Nsmf_PDUSession_ReleaseSMContext service operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
724,What is the primary purpose of the Nnef_ServiceParameter_Update operation in the 5G System (5GS)?,To retrieve service-specific parameters from the UDR via the NEF.,To update service-specific parameters in the UDR via the NEF.,To delete service-specific parameters from the UDR via the NEF.,To create new service-specific parameters in the UDR via the NEF.,Option 2,"The Nnef_ServiceParameter_Update operation is used by the consumer to update service-specific parameters in the User Data Repository (UDR) via the Network Exposure Function (NEF). This allows for dynamic changes to be made to the service parameters, which can impact how services are delivered to users.",3GPP TS 23.502,5.2.6.11.3 Nnef_ServiceParameter_Update operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
725,What is the purpose of the IE CellReselectionSubPriority in RRC protocol?,To determine the absolute priority of a carrier frequency for E-UTRA and NR by adding a fractional value to cellReselectionPriority.,To indicate the preferred cell reselection algorithm for E-UTRA and NR.,To specify the maximum allowed delay for cell reselection in E-UTRA and NR.,To define the minimum required signal strength for cell reselection in E-UTRA and NR.,Option 1,The IE CellReselectionSubPriority is used to add a fractional value to the cellReselectionPriority to obtain the absolute priority of a carrier frequency for E-UTRA and NR. This allows for more precise control over cell reselection decisions in multi-carrier scenarios.,3GPP TS 38.331,– CellReselectionSubPriority,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
726,How does an NG-RAN indicate support for eCall over IMS to UEs?,"By broadcasting an indication of ""eCallOverIMS-Support"" if the PLMN or all PLMNs in a shared environment support eCall over IMS.",By sending a dedicated signal to each UE individually.,By modifying the ims-EmergencySupport indicator to include eCall over IMS support.,By using a separate broadcast channel for eCall over IMS support indication.,Option 1,"The NG-RAN broadcasts an indication of ""eCallOverIMS-Support"" to indicate its support for eCall over IMS. This allows UEs to determine if eCall over IMS is possible based on this broadcast indicator and their own service state.",3GPP TS 38.300,16.5.3 eCall over IMS,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
727,What action does the UE take when an effective measurement window configuration is already setup and a new effectiveMeasWindowConfig is received with a setup indication?,Release the existing effective measurement window configuration and set up a new one based on the received windowOffsetPeriodicity.,Modify the existing effective measurement window configuration to match the new windowOffsetPeriodicity.,Ignore the new effectiveMeasWindowConfig and continue using the existing effective measurement window configuration.,Suspend the existing effective measurement window configuration until further instructions are received.,Option 1,"According to the specification, when an effective measurement window configuration is already setup and a new effectiveMeasWindowConfig is received with a setup indication, the UE releases the existing effective measurement window configuration and sets up a new one based on the received windowOffsetPeriodicity. This ensures that the UE uses the latest configuration for measurement purposes.",3GPP TS 38.331,5.5.2.12 Effective measurement window configuration,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
728,In which of the following substates of 5GMM-DEREGISTERED is valid subscriber data not available for the UE?,5GMM-DEREGISTERED.PLMN-SEARCH,5GMM-DEREGISTERED.NO-SUPI,5GMM-DEREGISTERED.eCALL-INACTIVE,5GMM-DEREGISTERED.NO-CELL-AVAILABLE,Option 2,"According to the specifications, valid subscriber data are available for the UE before it enters most substates of 5GMM-DEREGISTERED, except for the substate 5GMM-DEREGISTERED.NO-SUPI. This indicates that in the NO-SUPI substate, valid subscriber data may not be available for the UE.",3GPP TS 24.501,5.1.3.2.1.3 Substates of state 5GMM-DEREGISTERED 5.1.3.2.1.3.1 General,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
729,What is the primary purpose of the Discovery Group ID in the context of Proximity-based services (ProSe)?,To identify a group of Public Safety users affiliated for Group Member Discovery.,To authenticate individual User Equipment (UE) devices within a proximity-based service area.,To prioritize emergency communications among first responders.,To manage Quality of Service (QoS) parameters for ProSe-enabled UEs.,Option 1,"The Discovery Group ID is used to identify a group of Public Safety users that are affiliated for Group Member Discovery, allowing them to discover and communicate with each other within proximity-based services.",3GPP TS 23.003,24.16 Discovery Group ID,CT WG4,"3GPP Series : 23 , Technical realization (""stage 2"")"
730,In which direction and message can the user-user information element be included to transport user-user information from the remote user?,"Mobile station to network direction, in the SETUP message","Network to mobile station direction, in the CONNECT message","Mobile station to network direction, in the RELEASE COMPLETE message","Network to mobile station direction, in the RELEASE message",Option 4,The user-user information element can be included in the network to mobile station direction when the RELEASE message is used to initiate call clearing. This allows for the transport of user-user information from the remote user during the call clearing process.,3GPP TS 24.008,9.3.18.1.4 User-user,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
731,What are the two procedures required for notifying a service-related entity about the reachability of a User Equipment (UE) at the Evolved Packet Core (EPC) Non-Access Stratum (NAS) level?,UE Reachability Request and UE Activity Indication,UE Reachability Notification Request and UE Activity Notification,UE Availability Request and UE Reachability Confirmation,UE Presence Notification and UE Activity Report,Option 2,"The correct answer is Option 2 because the two procedures required for notifying a service-related entity about the reachability of a User Equipment (UE) at the Evolved Packet Core (EPC) Non-Access Stratum (NAS) level are indeed the UE Reachability Notification Request procedure and the UE Activity Notification procedure. These procedures enable the service-related entity to be informed about the UE's reachability status, which is essential for various services and applications in the telecom network.",3GPP TS 23.401,5.3.11 UE Reachability procedures 5.3.11.1 General,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
732,What is the purpose of the Nnef_ServiceParameter_Notify operation in the 5G System (5GS)?,To request service-specific parameter provisioning from the AF.,To notify the NEF about a change in the UE's location.,To deliver UE policies to the AF.,To notify a Service Parameter Authorization Update or forward a notification for a subscribed event by the AF.,Option 4,"The Nnef_ServiceParameter_Notify operation is used by the NEF to notify a Service Parameter Authorization Update (e.g., to revoke an authorization) to the AF or to forward a notification for a subscribed event by the AF, such as the notification of outcome of UE Policies Delivery to AF. This operation allows the NEF to inform the AF about changes in service parameters or events related to UE policies delivery.",3GPP TS 23.502,5.2.6.11.6 Nnef_ServiceParameter_Notify operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
733,Which of the following Network Functions (NFs) is NOT a service provided by the Network Exposure Function (NEF) in the 5G System Architecture?,Authentication and Authorization,Policy Control and Charging,Session Management,Mobility Management,Option 3,"The NEF provides services for authentication, authorization, policy control, and charging. However, session management is a service typically provided by the Session Management Function (SMF) in the 5G System Architecture, not the NEF.",3GPP TS 23.501,7.2.8 NEF Services,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
734,What is the primary purpose of the Nnef_EASDeployment_Unsubscribe service operation in the 5G System?,To subscribe to notifications of changes of EAS Deployment Information.,To explicitly unsubscribe from notifications of changes of EAS Deployment Information.,To update the Subscription Correlation ID for NF consumers.,To retrieve the current EAS Deployment Information.,Option 2,"The Nnef_EASDeployment_Unsubscribe service operation is specifically designed to allow NF consumers to explicitly unsubscribe from notifications of changes of EAS Deployment Information, as indicated in the description. This operation requires a Subscription Correlation ID as input and provides a Result Indication as output, confirming the unsubscription.",3GPP TS 23.502,5.2.6.26.7 Nnef_EASDeployment_Unsubscribe service operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
735,What is the minimum duration during which the TB success rate shall be sustained for UE supporting 256QAM in TDD FDD CA with FDD PCell?,At least 100 frames,At least 200 frames,At least 300 frames,At least 400 frames,Option 3,"According to the specifications, for UE supporting 256QAM in TDD FDD CA with FDD PCell, the TB success rate shall be sustained during at least 300 frames. This ensures that the UE can maintain a stable and successful transmission over a sufficient period.",3GPP TS 36.101,8.7.5.1 Minimum Requirement FDD PCell,RAN4,"3GPP Series : 36 , LTE (Evolved UTRA), LTE-Advanced, LTE-Advanced Pro radio technology"
736,What type of traffic is supported by a 5G system for indirect network connection mode?,Voice and data,"IoT small data, multimedia, and MCX","All types of traffic (e.g., voice, data, IoT small data, multimedia, MCX)",Only QoS-enabled traffic,Option 3,"A 5G system is required to support all types of traffic for indirect network connection mode, including but not limited to voice, data, IoT small data, multimedia, and MCX. This ensures that the 5G system can provide a wide range of services to users, regardless of the type of traffic they are using.",3GPP TS 22.261,6.9.2.2 Services and Service Continuity,SA WG1,"3GPP Series : 22 , Service aspects (""stage 1"")"
737,What is the expected response from the Mobile Station (MS) when it receives a REQUEST SECONDARY PDP CONTEXT ACTIVATION message with an unspecified cause for rejection?,"The MS sends a REQUEST SECONDARY PDP CONTEXT ACTIVATION REJECT message with cause #31 ""activation rejected, unspecified"".",The MS sends a REQUEST SECONDARY PDP CONTEXT ACTIVATION ACCEPT message.,The MS ignores the request and takes no action.,"The MS sends a REQUEST SECONDARY PDP CONTEXT ACTIVATION REJECT message with cause #26 ""insufficient resources"".",Option 1,"According to the specification, when the MS rejects the network-requested secondary PDP context activation, it sends a REQUEST SECONDARY PDP CONTEXT ACTIVATION REJECT message with an additional cause code. If the rejection is due to an unspecified reason, the MS should use cause #31 ""activation rejected, unspecified"".",3GPP TS 24.008,6.1.3.2.2a Unsuccessful secondary PDP context activation requested by the network,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
738,"What is the purpose of the ""UL scheduled IP throughput distribution"" measurement in E-UTRAN performance management?",To measure the downlink UE IP throughput in different throughput ranges.,To evaluate the quality of service for voice traffic.,To provide statistics information to distinguish scenarios where some UEs experience poor uplink performance.,To calculate the average packet loss rate in the network.,Option 3,"The correct answer is Option 3 because the ""UL scheduled IP throughput distribution"" measurement is designed to provide insights into the uplink UE IP throughput performance, specifically to identify scenarios where some UEs experience poor uplink performance. This measurement helps operators to understand the distribution of samples with UL UE IP throughput in different throughput ranges during one measurement period.",3GPP TS 32.425,4.4.6.8 UL scheduled IP throughput distribution,SA WG5,"3GPP Series : 32 , OAM&P and Charging"
739,What is the primary purpose of a Closed Subscriber Group ID (CSG ID) in a Public Land Mobile Network (PLMN)?,To identify a specific User Equipment (UE) within the PLMN.,To authenticate a subscriber's access to a particular cell or group of cells.,To uniquely identify a Closed Subscriber Group (CSG) in the PLMN associated with a CSG cell or group of CSG cells.,To prioritize traffic for a specific group of subscribers within the PLMN.,Option 3,"A CSG ID is used to identify a specific group of subscribers who have access to a particular cell or group of cells, allowing for targeted services and restrictions. This identifier is unique within the scope of the PLMN and is defined in TS 23.003.",3GPP TS 23.401,5.2.6 Closed Subscriber Group ID,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
740,What is the primary purpose of the Nnssf_NSSAIAvailability_Delete service operation in the 5G System (5GS)?,To update the NSSAI availability information stored for a NF service consumer.,To retrieve the NSSAI availability information stored for a NF service consumer.,To create new NSSAI availability information for a NF service consumer.,To delete the NSSAI availability information stored for a NF service consumer.,Option 4,"The Nnssf_NSSAIAvailability_Delete service operation is used to delete the NSSAI availability information stored for a NF service consumer, such as AMF, in the NSSF. This operation allows the NF service consumer to remove outdated or unnecessary information from the NSSF.",3GPP TS 23.502,5.2.16.3.6 Nnssf_NSSAIAvailability_Delete service operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
741,What is the requirement for mobile station support for PBCCH and PCCCH in A/Gb-mode of operation?,"Mandatory, as specified in other 3GPP specifications.","Optional, but the network can enable or disable it.","Mandatory, and the network must always enable it.","Optional, and the network shall never enable it.",Option 4,"According to the specification, mobile station support for PBCCH and PCCCH is optional in A/Gb-mode of operation. Moreover, the network is not allowed to enable these channels, making their use obsolete in this mode.",3GPP TS 24.008,1.9 Restrictions,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
742,What type of sequence is used to define pseudo-random sequences in E-UTRA?,A length-15 Gold sequence,A length-31 Gold sequence,A length-63 Gold sequence,A length-127 Gold sequence,Option 2,"According to the specifications, pseudo-random sequences in E-UTRA are defined by a length-31 Gold sequence. This is used to generate the output sequence of a specific length, which is crucial for various applications in the Evolved Universal Terrestrial Radio Access (E-UTRA) network.",3GPP TS 36.211,7.2 Pseudo-random sequence generation,RAN1,"3GPP Series : 36 , LTE (Evolved UTRA), LTE-Advanced, LTE-Advanced Pro radio technology"
743,What triggers the EMM entity in the UE to initiate the UPLINK NAS TRANSPORT message procedure?,Receipt of a downlink NAS transport message from the network.,Request from the SMS entity to send an SMS message.,Establishment of a new PDN connection.,Receipt of a paging message from the network.,Option 2,"The EMM entity in the UE initiates the UPLINK NAS TRANSPORT message procedure upon request from the SMS entity to send an SMS message, as specified in the NAS protocol for EPS. This highlights the role of the SMS entity in triggering the transport of NAS messages in the UE.",3GPP TS 24.301,5.6.3.2 UE initiated transport of NAS messages,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
744,What happens when the lower layers indicate that access barring is applicable for all access categories except category 0 and the access category with which the access attempt was associated is other than 0?,"The UE proceeds as specified for case a, but only if the access category is 6.",The UE shall proceed as specified for case a.,The UE-initiated NAS transport procedure is started immediately.,The UE stays in the current serving cell and applies the normal cell reselection process without attempting to send the UL NAS TRANSPORT message.,Option 2,"According to the text, if the lower layers indicate that access barring is applicable for all access categories except category 0 and the access category with which the access attempt was associated is other than 0, then the UE shall proceed as specified for case a. This means that the UE will follow the same procedure as in case a, without any additional conditions or exceptions.",3GPP TS 24.501,5.4.5.2.6 Abnormal cases in the UE,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
745,What type of information is included in the expected UE behavioral information that can be provisioned to 5G network functions?,Information on expected UE movement and communication characteristics,Information on 5G VN group,Service specific parameters for voice services only,Information on UE's battery life and storage capacity,Option 1,"The expected UE behavioral information provisioned to 5G network functions includes details about the UE's movement patterns and communication characteristics, which can be used by other Network Functions (NFs) to optimize network performance and resource allocation.",3GPP TS 23.502,4.15.6 External Parameter Provisioning 4.15.6.1 General,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
746,Where is ciphering performed if a radio bearer is using a non-transparent RLC mode?,In the MAC sub-layer,In the PDCP sub-layer,In the IP layer,In the RLC sub-layer,Option 4,"According to the rules, if a radio bearer is using a non-transparent RLC mode (AM or UM), ciphering is performed in the RLC sub-layer. This ensures that data confidentiality and integrity are maintained at the Radio Link Control layer.",3GPP TS 33.102,6.6.2 Layer of ciphering,SA WG3,"3GPP Series : 33 , Security aspects"
747,What is the nominal channel spacing for UE category NB1 and NB2 in stand-alone mode?,100 kHz,150 kHz,180 kHz,200 kHz,Option 4,"The correct answer is 200 kHz, as specified for UE category NB1 and NB2 in stand-alone mode. This channel spacing is used to minimize interference between adjacent carriers and ensure efficient use of spectrum resources in wireless communication systems.",3GPP TS 36.101,5.7.1F Channel spacing for category NB1 and NB2,RAN4,"3GPP Series : 36 , LTE (Evolved UTRA), LTE-Advanced, LTE-Advanced Pro radio technology"
748,What action can a trusted application server indicate to the HPLMN in response to a notification when a UE successfully registers in a VPLMN?,Reject UE registration without a specific cause,Trigger a Steering of Roaming (SoR) command during the registration procedure,Send an SMS to the UE with equipment and subscription identifiers,Update the UE's subscription information in the HPLMN database,Option 3,"The trusted application server can indicate specific actions to the HPLMN, such as sending an SMS to the UE, in response to a notification when a UE successfully registers in a VPLMN. This allows the HPLMN to provide personalized services or notifications to the UE based on its registration status and equipment/subscription identifiers.",3GPP TS 22.261,6.44.2.1 Welcome SMS,SA WG1,"3GPP Series : 22 , Service aspects (""stage 1"")"
749,"What should a User Equipment (UE) do when it receives a SERVICE-LEVEL AUTHENTICATION COMMAND message during a UE-requested PDU session release procedure, and the indicated PDU session is the one being released?",The UE should abort the PDU session release procedure and respond to the SERVICE-LEVEL AUTHENTICATION COMMAND message.,The UE should ignore the SERVICE-LEVEL AUTHENTICATION COMMAND message but pause the PDU session release procedure until further instruction.,The UE should send an error message to the network indicating a collision of procedures.,The UE should ignore the SERVICE-LEVEL AUTHENTICATION COMMAND message and proceed with the UE-requested PDU session release procedure.,Option 4,"According to the specified abnormal case handling, when a UE receives a SERVICE-LEVEL AUTHENTICATION COMMAND message during its own requested PDU session release procedure for the same PDU session indicated in the command, it should ignore the authentication command and continue with releasing the PDU session as originally intended. This ensures that the UE's request is prioritized and processed without interruption from conflicting network requests.",3GPP TS 24.501,6.3.1A.5 Abnormal cases in the UE,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
750,How does the BAP sublayer route backhaul traffic in EN-DC and NR-DC?,The BAP sublayer routes backhaul traffic via both LTE and NR interfaces.,The BAP sublayer routes backhaul traffic via only the LTE interface.,The BAP sublayer routes backhaul traffic via a single IAB-node.,"In EN-DC, the BAP sublayer routes backhaul traffic via only the NR interface, while in NR-DC, it can route via two NR interfaces to the same IAB-donor.",Option 4,"The correct answer is Option 4 because in EN-DC, the BAP sublayer is configured to route backhaul traffic solely through the NR interface. In contrast, NR-DC allows for more flexibility by enabling the BAP sublayer to distribute backhaul traffic across two separate NR interfaces that connect to the same IAB-donor, thereby enhancing network efficiency and reliability.",3GPP TS 37.340,6.5 BAP Sublayer,RAN2,"3GPP Series : 37 , Multiple radio access technology aspects"
751,What is the format of a SIP URI for an Unavailable User Identity in a telecom network?,sip:user@available.valid,sip:unavailable@ims.mncXXX.mccYYY.3gppnetwork.org,sip:unavailable@unknown.invalid,sip:user@domain.tld,Option 3,"The correct format of a SIP URI for an Unavailable User Identity is indeed sip:unavailable@unknown.invalid, as it follows the specified structure with the user part being unavailable and the domain part being unknown.invalid. This ensures that the Unavailable User Identity can be properly identified and handled in telecom networks.",3GPP TS 23.003,13.7 Unavailable User Identity,CT WG4,"3GPP Series : 23 , Technical realization (""stage 2"")"
752,What happens when a UE encounters an error with a mandatory information element in a DEACTIVATE EPS BEARER CONTEXT REQUEST message?,A DEACTIVATE EPS BEARER CONTEXT REJECT message is sent to the network.,"A DEACTIVATE EPS BEARER CONTEXT ACCEPT message is returned, and all resources associated with that EPS bearer are released.",The UE sends a PDN DISCONNECT REQUEST message to the network.,The UE releases all resources associated with the EPS bearer without sending any response.,Option 2,"According to the specified procedure, when a UE encounters an error with a mandatory information element in a DEACTIVATE EPS BEARER CONTEXT REQUEST message, it returns a DEACTIVATE EPS BEARER CONTEXT ACCEPT message and releases all resources associated with that EPS bearer. This ensures that the network is informed of the deactivation and can release its own resources accordingly.",3GPP TS 24.301,7.5.3 EPS session management,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
753,What is the primary purpose of a Closed Subscriber Group in an E-UTRAN and UTRAN?,To provide priority access to emergency services for all subscribers.,To restrict access to specific cells or cell groups within a PLMN to a defined group of subscribers.,To enable roaming between different public land mobile networks (PLMNs) for all subscribers.,To allow open access to all cells and cell groups within a PLMN for any subscriber.,Option 2,"A Closed Subscriber Group is designed to restrict access to specific cells or cell groups within a Public Land Mobile Network (PLMN) to a defined group of subscribers, identified by a unique Closed Subscriber Group Identity (CSG-ID). This allows network operators to control and manage access to certain areas of the network for specific users.",3GPP TS 23.003,4.7 Closed Subscriber Group,CT WG4,"3GPP Series : 23 , Technical realization (""stage 2"")"
754,What is the primary purpose of the Namf_Communication_N2InfoSubscribe service operation in the 5G System (5GS)?,To unsubscribe from N2 message types.,To subscribe for the delivery of information contained in a specific N2 message type.,To request CN NF ID information.,To retrieve N2 information type details.,Option 2,"The Namf_Communication_N2InfoSubscribe service operation allows an NF to subscribe for the delivery of information contained in a specific N2 message type, enabling it to receive relevant data as needed. This is essential for efficient communication and data exchange within the 5GS network.",3GPP TS 23.502,5.2.2.2.8 Namf_Communication_N2InfoSubscribe service operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
755,What happens during an SRVCC handover of a PDN connection for emergency bearer services when transitioning from Iu mode to A/Gb mode without integrity protection?,The MS and network derive new keys using existing security context.,The MS and network perform key exchange to establish new security parameters.,The MS and network skip key derivation but re-authenticate the user.,The MS and network do not perform key derivation or any additional security procedures.,Option 4,"According to the specification, when an SRVCC handover occurs for emergency bearer services without integrity protection while transitioning from Iu mode to A/Gb mode, neither the Mobile Station (MS) nor the network performs key derivation. This is a specific scenario where the existing security context remains valid, and no additional security procedures are required.",3GPP TS 24.008,4.3.2.12.2 PDN connection without integrity protection,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
756,How does a User Equipment (UE) convey Network Slice Selection Assistance Information (NSSAI) to the network?,Through Non-Access Stratum (NAS) signaling,Over X2 interface between eNodeBs,Using DNS queries to resolve slice information,Over Radio Resource Control (RRC) in a format indicated by the upper layer,Option 4,"The UE conveys NSSAI over RRC, as specified in the 3GPP TS 38.300 standard, when triggered by the upper layer. This is done to assist the network in selecting the appropriate network slice for the UE's communication needs.",3GPP TS 38.300,16.3.2.2 Radio Interface Aspects,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
757,What action does the GGSN/P-GW take when it has no P-CSCF address available in response to an MS/UE's request for a P-CSCF address in the PCO IE?,The GGSN/P-GW sends an error message to the MS/UE.,The GGSN/P-GW ignores the request and does not respond.,The GGSN/P-GW provides a default P-CSCF address.,The GGSN/P-GW responds with an empty PCO IE.,Option 2,"According to the text, if the GGSN/P-GW has no P-CSCF address available, it shall ignore the request. This means that the GGSN/P-GW will not send any response or error message to the MS/UE, but rather simply disregard the request.",3GPP TS 29.061,13a.2.2.1 Request for Signalling Server Address,CT WG3,"3GPP Series : 29 , Signalling protocols (""stage 3"") - intra-fixed-network"
758,What is the primary purpose of the Nnef_NIDD_Delivery service operation in the 5G System?,To establish a secure connection between NF consumer and NEF.,To deliver structured data between NF consumer and NEF.,To deliver unstructured data between NF consumer and NEF to support NIDD via NEF.,To manage user authentication and authorization.,Option 3,"The correct answer is Option 3 because the Nnef_NIDD_Delivery service operation is specifically designed to deliver unstructured data between NF consumer and NEF, which supports Network Identity and Discovery (NIDD) via NEF. This is evident from the description of the service operation, which highlights its role in delivering unstructured data to support NIDD.",3GPP TS 23.502,5.2.6.14.2 Nnef_NIDD_Delivery service operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
759,What happens when an UPLINK GENERIC NAS TRANSPORT message is received from a UE which is in a location where the Public Land Mobile Network (PLMN) is not allowed to operate?,The MME forwards the message to the UE's serving gateway.,The MME discards the message.,The MME sends an error message to the UE.,The MME buffers the message for later delivery.,Option 2,"According to the NAS protocol, if the MME determines that the UE is in a location where the PLMN is not allowed to operate, it discards the UPLINK GENERIC NAS TRANSPORT message. This ensures that the network does not process messages from unauthorized locations, maintaining security and compliance with regulatory requirements.",3GPP TS 24.301,5.6.4.5 Abnormal cases on the network side,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
760,Under what conditions may a Relay UE initiate a procedure when acting as a U2N Relay UE?,"Upon cell reselection, reception of an RRCReconfiguration including the reconfigurationWithSync, or L2 U2N Relay UE's RRC connection failure.",Only upon Uu RLF as specified in 5.3.10.,When the UE is in idle mode and receives a paging message.,Upon detection of PC5 RLF with L2 U2U Remote UE.,Option 1,"A Relay UE may initiate a procedure when acting as a U2N Relay UE under several conditions, including cell reselection, reception of an RRCReconfiguration including the reconfigurationWithSync, or L2 U2N Relay UE's RRC connection failure. These conditions are specified in the 3GPP TS 38.331 protocol specification and highlight the importance of reliable communication and synchronization in relay scenarios.",3GPP TS 38.331,5.8.9.10.2 Initiation,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
761,What is the purpose of the UE CONTEXT MODIFICATION REQUEST message sent by the gNB-CU to the source gNB-DU in step 7 of the inter-gNB-DU mobility procedure using MCG SRB in EN-DC?,To query the latest SCG configuration,To indicate to stop the data transmission to the UE and request Downlink Data Delivery Status frame,To create an UE context and setup one or more data bearers,To release the UE context,Option 2,"The gNB-CU sends a UE CONTEXT MODIFICATION REQUEST message to the source gNB-DU in step 7, indicating to stop the data transmission to the UE. This is done to ensure that no further data is sent to the UE from the source gNB-DU after the handover procedure has started. Additionally, the source gNB-DU also sends a Downlink Data Delivery Status frame to inform the gNB-CU about the unsuccessfully transmitted downlink data to the UE.",3GPP TS 38.401,8.2.2.1 Inter-gNB-DU Mobility using MCG SRB,RAN3,"3GPP Series : 38 , Radio technology beyond LTE"
762,How does a UE determine if the enhanced coverage feature is restricted or not for a specific PLMN?,The UE assumes Enhanced Coverage is allowed unless explicitly restricted by the network for a PLMN.,"The UE checks the Enhanced Coverage Restricted parameter sent by the MME in the Attach/TAU Accept message, but only if it has previously indicated support for restriction of use of Enhanced Coverage.",The UE always assumes that enhanced coverage is restricted and requires explicit permission from the network to use it.,The UE checks the roaming agreement with the subscriber's HPLMN to determine if enhanced coverage is restricted or not.,Option 1,"According to the text, ""The UE assumes Enhanced Coverage is allowed unless explicitly restricted by the network for a PLMN."" This indicates that the default behavior of the UE is to assume that enhanced coverage is allowed, and it only restricts its use if explicitly told to do so by the network.",3GPP TS 23.401,4.3.28 Restriction of use of Enhanced Coverage,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
763,What is the relationship between the E-UTRA Absolute Radio Frequency Channel Number (EARFCN) and the carrier frequency in MHz for the downlink?,FDL = FDL_low + 0.1(NDL – NOffs-DL),FDL = FDL_low - 0.1(NDL – NOffs-DL),FDL = FDL_low * (NDL – NOffs-DL),FDL = FDL_low / (NDL – NOffs-DL),Option 1,"The correct relationship between the E-UTRA Absolute Radio Frequency Channel Number (EARFCN) and the carrier frequency in MHz for the downlink is given by the equation FDL = FDL_low + 0.1(NDL – NOffs-DL), where FDL_low and NOffs-DL are constants defined in Table 5.7.3-1, and NDL is the downlink EARFCN. This equation allows for the calculation of the carrier frequency based on the assigned EARFCN value.",3GPP TS 36.101,5.7.3 Carrier frequency and EARFCN,RAN4,"3GPP Series : 36 , LTE (Evolved UTRA), LTE-Advanced, LTE-Advanced Pro radio technology"
764,What is the primary purpose of the Namf_MT service in the 5G System (5GS) architecture?,To manage UE mobility and handovers between different network slices.,To provide information related to capabilities that ensure a UE is reachable for MT signalling or data transmission.,To handle authentication and authorization of UEs accessing the 5G network.,To coordinate with other NFs for load balancing and resource allocation.,Option 2,"The Namf_MT service is designed to provide information related to UE capabilities that ensure reachability for MT signalling or data transmission. This includes functionalities such as paging UEs in IDLE state, responding to requesters when a UE is in CONNECTED state, and providing terminating domain selection information for IMS voice.",3GPP TS 23.502,5.2.2.4 Namf_MT service 5.2.2.4.1 General,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
765,"Where will a capability related to a feature that can be used in both S1 mode and at least one of A/Gb or Iu modes, but is only used by the MME, be signalled?",In the MS network capability IE,In the UE network capability IE for S1 mode only,In both MS network capability IE and UE network capability IE,In the UE network capability IE,Option 4,"According to the guidelines, if a capability is related to a feature that can be used in both S1 mode and at least one of A/Gb or Iu modes, but is only used by the MME, it will be signalled in the UE network capability IE. This ensures that the information is available to the MME for its operations.",3GPP TS 24.301,Annex E (informative): Guidelines for enhancements to MS network capability IE and UE network capability IE,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
766,What is the purpose of including the Request Type Information Element (IE) in a message?,To indicate the priority level of a PDP context request.,To specify the QoS parameters for a PDP context.,To indicate whether the PDP context request is for handover from a non-3GPP access network or to activate a PDP context for emergency bearer services.,To identify the type of mobile device requesting a PDP context.,Option 3,"The Request Type IE is used to indicate whether the PDP context request is for handover from a non-3GPP access network or to activate a PDP context for emergency bearer services, allowing the network to handle these special cases appropriately.",3GPP TS 24.008,9.5.1.3 Request type,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
